timestamp,electricity_consumption
2021/05/06 00:30:00,29.36
2021/05/06 01:00:00,29.23
2021/05/06 01:30:00,29.4
2021/05/06 02:00:00,29.66
2021/05/06 02:30:00,29.28
2021/05/06 03:00:00,29.39
2021/05/06 03:30:00,28.94
2021/05/06 04:00:00,28.94
2021/05/06 04:30:00,28.92
2021/05/06 05:00:00,28.62
2021/05/06 05:30:00,28.67
2021/05/06 06:00:00,29.36
2021/05/06 06:30:00,31.11
2021/05/06 07:00:00,30.63
2021/05/06 07:30:00,30.73
2021/05/06 08:00:00,30.56
2021/05/06 08:30:00,31.43
2021/05/06 09:00:00,32.53
2021/05/06 09:30:00,33.46
2021/05/06 10:00:00,33.13
2021/05/06 10:30:00,33.65
2021/05/06 11:00:00,30.06
2021/05/06 11:30:00,20.24
2021/05/06 12:00:00,20.86
2021/05/06 12:30:00,20.43
2021/05/06 13:00:00,20.02
2021/05/06 13:30:00,19.49
2021/05/06 14:00:00,21.1
2021/05/06 14:30:00,20.83
2021/05/06 15:00:00,25.6
2021/05/06 15:30:00,32.9
2021/05/06 16:00:00,32.52
2021/05/06 16:30:00,31.28
2021/05/06 17:00:00,30.71
2021/05/06 17:30:00,30.99
2021/05/06 18:00:00,29.96
2021/05/06 18:30:00,30.02
2021/05/06 19:00:00,29.82
2021/05/06 19:30:00,29.85
2021/05/06 20:00:00,30.13
2021/05/06 20:30:00,30.13
2021/05/06 21:00:00,30.29
2021/05/06 21:30:00,30.41
2021/05/06 22:00:00,30.33
2021/05/06 22:30:00,30.51
2021/05/06 23:00:00,30.37
2021/05/06 23:30:00,30.42
2021/05/07 00:00:00,30.54
2021/05/07 00:30:00,30.37
2021/05/07 01:00:00,30.43
2021/05/07 01:30:00,30.16
2021/05/07 02:00:00,30.53
2021/05/07 02:30:00,30.46
2021/05/07 03:00:00,30.45
2021/05/07 03:30:00,30.35
2021/05/07 04:00:00,30.73
2021/05/07 04:30:00,30.44
2021/05/07 05:00:00,30.18
2021/05/07 05:30:00,30.31
2021/05/07 06:00:00,31.39
2021/05/07 06:30:00,32.71
2021/05/07 07:00:00,31.59
2021/05/07 07:30:00,31.6
2021/05/07 08:00:00,31.8
2021/05/07 08:30:00,32.39
2021/05/07 09:00:00,34.62
2021/05/07 09:30:00,33.23
2021/05/07 10:00:00,32.83
2021/05/07 10:30:00,32.69
2021/05/07 11:00:00,29.15
2021/05/07 11:30:00,18.52
2021/05/07 12:00:00,19
2021/05/07 12:30:00,18.81
2021/05/07 13:00:00,20.07
2021/05/07 13:30:00,26.18
2021/05/07 14:00:00,25.01
2021/05/07 14:30:00,33.82
2021/05/07 15:00:00,34.87
2021/05/07 15:30:00,35.05
2021/05/07 16:00:00,35.31
2021/05/07 16:30:00,35.21
2021/05/07 17:00:00,34.83
2021/05/07 17:30:00,35.09
2021/05/07 18:00:00,33.98
2021/05/07 18:30:00,32.92
2021/05/07 19:00:00,32.93
2021/05/07 19:30:00,33.04
2021/05/07 20:00:00,33.39
2021/05/07 20:30:00,33.42
2021/05/07 21:00:00,33.73
2021/05/07 21:30:00,33.62
2021/05/07 22:00:00,33.64
2021/05/07 22:30:00,33.34
2021/05/07 23:00:00,33.52
2021/05/07 23:30:00,33.78
2021/05/08 00:00:00,33.87
2021/05/08 00:30:00,33.71
2021/05/08 01:00:00,33.71
2021/05/08 01:30:00,33.89
2021/05/08 02:00:00,33.5
2021/05/08 02:30:00,33.22
2021/05/08 03:00:00,33.43
2021/05/08 03:30:00,33.41
2021/05/08 04:00:00,33.34
2021/05/08 04:30:00,33.27
2021/05/08 05:00:00,33.33
2021/05/08 05:30:00,33.75
2021/05/08 06:00:00,34.72
2021/05/08 06:30:00,36.23
2021/05/08 07:00:00,35.71
2021/05/08 07:30:00,34.54
2021/05/08 08:00:00,34.22
2021/05/08 08:30:00,35
2021/05/08 09:00:00,33.97
2021/05/08 09:30:00,35.05
2021/05/08 10:00:00,31.66
2021/05/08 10:30:00,32.71
2021/05/08 11:00:00,27.13
2021/05/08 11:30:00,26.83
2021/05/08 12:00:00,21.91
2021/05/08 12:30:00,21.87
2021/05/08 13:00:00,21.77
2021/05/08 13:30:00,21.46
2021/05/08 14:00:00,20.95
2021/05/08 14:30:00,22.13
2021/05/08 15:00:00,27.06
2021/05/08 15:30:00,35.01
